,q103_survey_type,q213_no_members,q216_house_pucca_kachha,q217_house_type,q218_house_no_stories,q223_house_no_bedrooms,q224_house_no_toilets,q225_house_no_otherrooms,land_area_sqfeet,q228_plot_use_house_in_percent,q301_grid_yn,q313_grid_billfreq,q610_elec_bill_physical_yn,q610_a_no_billing_days,q610_b_billed_units,q405_a_incadescent_bulb_no,q405_b_cfl_bulb_no,q405_c_led_bulb_no,q405_d_led_tube_light_no,q405_e_cfl_tube_light_no,q409_ceiling_fan_yn,q410_ceiling_fan_no,q415_table_fan_yn,q416_table_fan_no,q421_air_coolers_yn,q422_air_coolers_no,q427_ac_yn,q428_ac_no,q459_tv_yn,q460_tv_no,q466_fridge_yn,q467_fridge_no,q471_mixer_grinder_2_yn,q472_wash_mach_yn,q476_iron_yn,q477_water_pump_yn,q480_water_pump_cap_hp
2511,1,6,2,1.0,1.0,2,1,1,750.0,50.0,1,1.0,1.0,30.0,162.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,
2515,1,5,1,,,1,2,1,200.0,20.0,1,1.0,0.0,,,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
2524,1,2,3,1.0,1.0,2,1,2,500.0,90.0,1,1.0,0.0,,,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,
2582,1,3,1,,,1,0,1,800.0,35.0,1,1.0,1.0,30.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
2610,1,6,2,1.0,1.0,1,1,4,1600.0,90.0,1,1.0,1.0,30.0,28.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
2619,1,2,1,,,1,1,1,300.0,60.0,1,1.0,0.0,,,1.0,2.0,1.0,0.0,0.0,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
2627,1,5,1,,,1,1,3,1000.0,60.0,1,1.0,1.0,,,1.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
2666,1,6,1,,,1,1,2,500.0,60.0,1,3.0,1.0,30.0,38.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,1.0,
2669,1,5,3,1.0,1.0,1,1,1,200.0,100.0,1,1.0,0.0,,,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
2671,1,6,2,1.0,1.0,2,1,3,1500.0,75.0,1,1.0,1.0,30.0,40.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
